"trial index","choice index","criterion index","time between answers [ms]",H,P,FKS,"MC color","MC figure","MC amount"
0,0,1,6375,false,false,false,false,false,true
1,3,1,2919,true,false,false,true,true,false
2,3,1,2177,true,false,false,true,true,false
3,3,1,871,false,false,false,true,false,false
4,2,1,2952,false,false,false,false,false,true
5,3,1,2776,true,false,false,false,true,false
6,3,1,1816,true,false,false,false,true,false
7,0,1,2511,true,false,false,false,true,true
8,0,1,1193,true,false,false,false,true,false
9,0,1,1288,true,false,false,false,true,true
10,0,0,1503,false,false,true,false,false,false
11,1,0,4184,true,false,false,true,false,false
12,3,0,2385,true,false,false,true,true,false
13,2,0,1904,true,false,false,true,false,true
14,0,0,1368,true,false,false,true,false,false
