"trial index","choice index","criterion index","time between answers [ms]",H,P,FKS,"MC color","MC figure","MC amount"
0,2,1,2647,true,false,false,false,true,true
1,3,1,1946,true,false,false,false,true,true
2,2,1,3298,true,false,false,false,true,true
3,2,1,4023,true,false,false,false,true,false
4,0,1,2164,true,false,false,false,true,false
5,0,0,1614,false,false,true,false,true,false
6,2,0,3154,true,false,false,true,false,true
7,3,0,3775,true,false,false,true,false,false
8,0,0,1672,true,false,false,true,true,false
9,2,0,2465,true,false,false,true,false,false
10,2,0,2730,false,false,false,false,true,false
11,2,0,3516,true,false,false,true,false,true
12,2,0,1230,true,false,false,true,false,false
13,1,0,2371,true,false,false,true,false,false
14,3,0,1844,true,false,false,true,false,true
